3999.99, 100.114
3999.93, 100.119
3999.87, 100.121
3999.81, 100.119
3999.75, 100.115
3999.69, 100.111
3999.63, 100.11
3999.57, 100.114
3999.51, 100.121
3999.45, 100.131
3999.39, 100.141
3999.33, 100.148
3999.27, 100.151
3999.21, 100.149
3999.15, 100.142
3999.09, 100.132
3999.03, 100.121
3998.97, 100.109
3998.91, 100.099
3998.85, 100.09
3998.79, 100.083
3998.73, 100.08
3998.66, 100.079
3998.6, 100.082
3998.54, 100.087
3998.48, 100.092
3998.42, 100.097
3998.36, 100.1
3998.3, 100.1
3998.24, 100.097
3998.18, 100.093
3998.12, 100.088
3998.06, 100.084
3998, 100.081
3997.94, 100.08
3997.88, 100.08
3997.82, 100.08
3997.76, 100.081
3997.7, 100.081
3997.64, 100.081
3997.58, 100.083
3997.52, 100.085
3997.46, 100.089
3997.4, 100.093
3997.34, 100.097
3997.28, 100.102
3997.22, 100.105
3997.16, 100.107
3997.1, 100.107
3997.04, 100.106
3996.98, 100.103
3996.92, 100.1
3996.86, 100.098
3996.8, 100.098
3996.74, 100.102
3996.68, 100.11
3996.62, 100.121
3996.56, 100.133
3996.5, 100.144
3996.44, 100.151
3996.37, 100.153
3996.31, 100.149
3996.25, 100.141
3996.19, 100.129
3996.13, 100.117
3996.07, 100.105
3996.01, 100.096
3995.95, 100.09
3995.89, 100.085
3995.83, 100.083
3995.77, 100.084
3995.71, 100.087
3995.65, 100.093
3995.59, 100.104
3995.53, 100.117
3995.47, 100.133
3995.41, 100.147
3995.35, 100.159
3995.29, 100.164
3995.23, 100.163
3995.17, 100.154
3995.11, 100.14
3995.05, 100.122
3994.99, 100.102
3994.93, 100.085
3994.87, 100.071
3994.81, 100.062
3994.75, 100.057
3994.69, 100.055
3994.63, 100.055
3994.57, 100.055
3994.51, 100.053
3994.45, 100.049
3994.39, 100.045
3994.33, 100.042
3994.27, 100.043
3994.21, 100.048
3994.14, 100.057
3994.08, 100.068
3994.02, 100.08
3993.96, 100.09
3993.9, 100.096
3993.84, 100.096
3993.78, 100.092
3993.72, 100.084
3993.66, 100.073
3993.6, 100.061
3993.54, 100.049
3993.48, 100.036
3993.42, 100.023
3993.36, 100.009
3993.3, 99.9973
3993.24, 99.9877
3993.18, 99.9826
3993.12, 99.9837
3993.06, 99.9918
3993, 100.007
3992.94, 100.027
3992.88, 100.051
3992.82, 100.077
